wave,prompt_id,fixture,label,trajectory_name,trajectory_id,generated_index,generated_fraction_start,position_band_pct20,target_position,prefix_token_count,target_token_id,target_token_text,status,estimated_cost,graph_path,trace_id,shard_id
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,0,0.0,pct_00_20,97,97,6481,Let,ok,97,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000000/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000000,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,1,0.006172839506172839,pct_00_20,98,98,236789,',ok,98,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000001/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000001,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,2,0.012345679012345678,pct_00_20,99,99,236751,s,ok,99,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000002/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000002,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,3,0.018518518518518517,pct_00_20,100,100,2541, break,ok,100,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000003/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000003,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,4,0.024691358024691357,pct_00_20,101,101,672, this,ok,101,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000004/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000004,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,5,0.030864197530864196,pct_00_20,102,102,2608, problem,ok,102,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000005/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000005,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,6,0.037037037037037035,pct_00_20,103,103,1679, down,ok,103,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000006/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000006,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,7,0.043209876543209874,pct_00_20,104,104,2918, step,ok,104,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000007/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000007,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,8,0.04938271604938271,pct_00_20,105,105,236772,-,ok,105,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000008/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000008,4
v1_prior9,164,164_base,correct,164_correct_seed3004_attempt000005,164_base_temp08_screen_seed3000_attempt000005,9,0.05555555555555555,pct_00_20,106,106,2003,by,ok,106,/fs/scratch/PAS2836/kopanev.1/exact_trace_bench/cardinal/fast/real-prompt-screen-v1/trace_launch_prep_fullseq_wreuse_w1600/164_correct_seed3004_attempt000005/run/real-prompt-trace-v1-164_correct_seed3004_attempt000005/shards/shard_004/token_000009/graph.npz,164_base_temp08_screen_seed3000_attempt000005_tok000009,4
